Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
E.T.,Katy Perry,Teenage Dream,2eQMC9nJE3f3hCNKlYYHL1,4kkeuVl6gF3RMqE4Nn5W3E,64,2010-01-01,206373,False,https://open.spotify.com/track/4kkeuVl6gF3RMqE4Nn5W3E,0.602,0.863,5,-5.423,0,0.0773,0.0178,0.0,0.389,0.732,150.183
Party Monster,The Weeknd,Starboy,2ODvWsOgouMbaA5xf0RkJe,4F7A0DXBrmUAkp32uenhZt,80,2016-11-25,249213,True,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt,0.573,0.63,1,-8.389,1,0.105,0.189,2.31e-05,0.259,0.218,77.525
DOGTOOTH,"Tyler, The Creator",DOGTOOTH,1pdqT6DBwIA0WElEspOA0v,0judK8TqYfvwUohBngUxrE,1,2023-03-27,161041,True,https://open.spotify.com/track/0judK8TqYfvwUohBngUxrE,0.706,0.648,8,-6.348,1,0.324,0.505,0.0,0.215,0.802,77.533
Day 'N' Nite (Nightmare),Kid Cudi,Man On The Moon: The End Of Day (Int'l Version),6oPPKtAwNNlkW4wwHfQDfM,60PAzFNW3vAiAiVK6DRJfB,72,2009-01-01,221240,False,https://open.spotify.com/track/60PAzFNW3vAiAiVK6DRJfB,0.88,0.443,11,-6.359,0,0.0653,0.462,7.13e-06,0.122,0.803,138.018
Jimmy Cooks (feat. 21 Savage),"Drake,21 Savage","Honestly, Nevermind",3cf4iSSKd8ffTncbtKljXw,3F5CgOj3wFlRv51JsHbxhe,85,2022-06-17,218365,True,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921
I Love It,"Icona Pop,Charli XCX",Icona Pop,5ntm6HNABamnxHMI3T3OUb,27ilMN1oiW9849fReEYgOj,55,2012-01-01,156773,True,https://open.spotify.com/track/27ilMN1oiW9849fReEYgOj,0.71,0.901,1,-2.686,1,0.0296,0.00828,1.34e-05,0.172,0.86,125.953
Needed Me,Rihanna,ANTI (Deluxe),4UlGauD7ROb3YbVOFMgW5u,4pAl7FkDMNBsjykPXo91B3,83,2016-01-28,191600,True,https://open.spotify.com/track/4pAl7FkDMNBsjykPXo91B3,0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898
Dj Happy Party - Remix,"Leasis,Cassanova",Dj Happy Party (Remix),18DAfJqgiz64RN1SAM7UTO,5jDAXzsYbiF31Pm3BrlY7U,0,2022-09-13,65434,False,https://open.spotify.com/track/5jDAXzsYbiF31Pm3BrlY7U,0.467,0.976,10,-4.224,0,0.174,0.0286,0.881,0.405,0.437,133.853
DEAD SPACE,"HAARPER,Ramirez",DEAD SPACE,2zlWB2iozGBUV8LWEa8RMP,5PTrghejwHIxIQOjEZpjQg,54,2023-04-21,137195,True,https://open.spotify.com/track/5PTrghejwHIxIQOjEZpjQg,0.769,0.621,9,-10.05,1,0.0545,0.0279,0.837,0.0823,0.176,122.977
Locked Up,Akon,Trouble,6X7HEjHrNHimc0buMQpNya,0YUrjFy4qFKOO5NhM9tYdV,63,2006-01-01,235067,True,https://open.spotify.com/track/0YUrjFy4qFKOO5NhM9tYdV,0.828,0.58,7,-4.395,1,0.0941,0.0255,0.0,0.103,0.407,89.973
